Time [ms],Temp [C]
8428396,20.46
8438551,20.49
8448705,20.49
8458860,20.49
8469015,20.49
8479170,20.49
8489324,20.49
8499479,20.53
8509634,20.53
8519788,20.53
8529943,20.53
8540098,20.56
8550253,20.56
8560407,20.6
8570562,20.6
8580717,20.6
8590871,20.6
8601026,20.63
8611181,20.6
8621336,20.63
8631490,20.63
8641645,20.66
8651800,20.66
8661954,20.66
8672109,20.66
8682264,20.66
8692419,20.7
8702573,20.7
8712728,20.7
8722883,20.7
8733037,20.7
8743192,20.73
8753347,20.73
8763502,20.76
8773656,20.76
8783811,20.76
8793966,20.76
8804120,20.76
8814275,20.8
8824430,20.76
8834585,20.8
8844739,20.8
8854894,20.8
8865049,20.83
8875203,20.83
8885358,20.83
8895513,20.83
8905668,20.87
8915822,20.83
8925977,20.87
8936132,20.87
8946286,20.9
8956441,20.9
8966596,20.9
8976750,20.9
8986905,20.9
8997060,20.93
9007215,20.93
9017369,20.93
9027524,20.97
9037679,20.93
9047833,20.97
9057988,20.97
9068143,20.97
9078298,20.97
9088452,20.97
9098607,20.97
9108762,21
9118916,21
9129071,21
9139226,21
9149381,21.03
9159535,21
9169690,21.03
9179845,21.03
9189999,21.03
9200154,21.07
9210309,21.07
9220463,21.07
9230618,21.1
9240773,21.1
9250928,21.1
9261082,21.1
9271237,21.14
9281392,21.1
9291546,21.14
9301701,21.14
9311856,21.14
9322011,21.14
9332165,21.17
9342320,21.17
9352475,21.17
9362629,21.17
9372784,21.2
9382939,21.2
9393094,21.2
9403248,21.2
9413403,21.24
9423558,21.24
9433712,21.24
9443867,21.27
9454022,21.24
9464177,21.24
9474331,21.27
9484486,21.27
9494641,21.27
9504795,21.27
9514950,21.31
9525105,21.31
9535260,21.31
9545414,21.31
9555569,21.31
9565724,21.31
9575878,21.34
9586033,21.34
9596188,21.34
9606342,21.34
9616497,21.34
9626652,21.37
9636807,21.37
9646961,21.37
9657116,21.37
9667271,21.37
9677425,21.41
9687580,21.41
9697735,21.41
9707890,21.41
9718044,21.41
9728199,21.44
9738354,21.41
9748508,21.44
9758663,21.44
9768818,21.44
9778973,21.47
9789127,21.47
9799282,21.47
9809437,21.47
9819591,21.47
9829746,21.51
9839901,21.51
9850055,21.51
9860210,21.51
9870365,21.51
9880520,21.51
9890674,21.54
9900829,21.54
9910984,21.54
9921138,21.54
9931293,21.54
9941448,21.58
9951603,21.58
9961757,21.54
9971912,21.58
9982067,21.58
9992221,21.58
10002376,21.58
10012531,21.58
10022686,21.58
10032840,21.61
10042995,21.61
10053150,21.61
10063305,21.64
10073459,21.64
10083614,21.64
10093769,21.64
10103924,21.64
10114079,21.68
10124233,21.68
10134388,21.68
10144543,21.68
10154698,21.68
10164852,21.68
10175007,21.68
10185162,21.68
10195317,21.71
10205471,21.71
10215626,21.71
10225781,21.71
10235936,21.71
10246090,21.74
10256245,21.74
10266400,21.74
10276555,21.74
10286709,21.78
10296864,21.74
10307019,21.74
10317174,21.78
10327329,21.78
10337483,21.78
10347638,21.81
10357793,21.78
10367948,21.81
10378102,21.81
10388257,21.85
10398412,21.85
10408567,21.85
10418721,21.85
10428876,21.85
10439031,21.85
10449186,21.85
10459340,21.85
10469495,21.88
10479650,21.88
10489805,21.88
10499959,21.88
10510114,21.88
10520269,21.88
10530424,21.88
10540578,21.91
10550733,21.88
10560888,21.95
10571043,21.91
10581198,21.91
10591352,21.95
10601507,21.95
10611662,21.95
10621817,21.95
10631971,21.95
10642126,21.95
10652281,21.95
10662436,21.98
10672590,21.98
10682745,21.98
10692900,21.98
10703055,21.98
10713209,21.98
10723364,22.01
10733519,22.01
10743674,22.01
10753828,22.01
10763983,22.01
10774138,22.05
10784293,22.01
10794447,22.05
10804602,22.05
10814757,22.05
10824912,22.05
10835066,22.05
10845221,22.08
10855376,22.05
10865531,22.08
10875685,22.08
10885840,22.08
10895995,22.08
10906150,22.12
10916305,22.12
10926459,22.12
10936614,22.12
10946769,22.12
10956924,22.12
10967078,22.12
10977233,22.15
10987388,22.15
10997543,22.15
11007697,22.18
11017852,22.18
11028007,22.15
11038162,22.18
11048316,22.18
11058471,22.18
11068626,22.18
11078781,22.18
11088935,22.18
11099090,22.22
11109245,22.22
11119400,22.22
11129555,22.22
11139709,22.22
11149864,22.22
11160019,22.25
11170174,22.25
11180328,22.25
11190483,22.25
11200638,22.29
11210793,22.25
11220947,22.25
11231102,22.29
11241257,22.29
11251412,22.29
11261566,22.29
11271721,22.29
11281876,22.29
11292031,22.32
11302185,22.32
11312340,22.29
11322495,22.32
11332650,22.35
11342805,22.35
11352959,22.32
11363114,22.35
11373269,22.35
11383424,22.35
11393578,22.35
11403733,22.35
11413888,22.35
11424043,22.35
11434197,22.39
11444352,22.39
11454507,22.39
11464662,22.39
11474816,22.39
11484971,22.42
11495126,22.39
11505281,22.42
11515435,22.42
11525590,22.42
11535745,22.42
11545900,22.42
11556054,22.42
11566209,22.42
11576364,22.42
11586519,22.45
11596674,22.45
11606828,22.45
11616983,22.45
11627138,22.45
11637293,22.45
11647447,22.49
11657602,22.49
11667757,22.49
11677912,22.52
11688066,22.49
11698221,22.52
11708376,22.49
11718531,22.49
11728685,22.52
11738840,22.52
11748995,22.52
11759150,22.52
11769305,22.52
11779459,22.52
11789614,22.56
11799769,22.56
11809924,22.56
11820078,22.56
11830233,22.56
11840388,22.56
11850543,22.56
11860697,22.56
11870852,22.59
11881007,22.59
11891162,22.59
11901316,22.59
11911471,22.59
11921626,22.59
11931781,22.62
11941935,22.59
11952090,22.59
11962245,22.59
11972400,22.62
11982554,22.62
11992709,22.62
12002864,22.66
12013019,22.62
12023174,22.62
12033328,22.62
12043483,22.66
12053638,22.66
12063793,22.66
12073947,22.66
12084102,22.66
12094257,22.66
12104412,22.69
12114566,22.66
12124721,22.69
12134876,22.69
12145031,22.69
12155185,22.69
12165340,22.69
12175495,22.69
12185651,22.69
12195804,22.72
12205959,22.72
12216115,22.72
12226270,22.72
12236425,22.72
12246579,22.72
12256734,22.72
12266889,22.72
12277044,22.76
12287198,22.72
12297353,22.76
12307508,22.76
12317663,22.76
12327817,22.76
12337972,22.76
12348127,22.76
12358282,22.76
12368436,22.79
12378591,22.76
12388746,22.79
12398901,22.79
12409055,22.79
12419210,22.79
12429365,22.83
12439520,22.83
12449675,22.83
12459829,22.83
